Name;aP;eP;iP;PiqP;OmegaP;L0P;M0P;NP;epsP;SidTagP
Merkur ;0.3870893;0.20563069;7.00487;77.45645;48.33167;252.25084;174.79439;149472.6738;0;5067033.624
Venus  ;0.72333199;0.00677323;3.39471;131.53298;76.68069;181.97973;50.44675;58517.8149;177.3;20996815.68
Erde   ;1.00000011;0.01671022;0.00005;102.94719;348.73936;100.46435;357.51716;35999.372;23.45;86164.099
Mars   ;1.52366231;0.09341233;1.8497;336.0602;49.5581;355.45332;19.38711;19139.85716;25.192;88642.663
Jupiter;5.20336301;0.04839266;1.3053;14.75385;100.55615;34.40438;19.65053;3033.6272;3.12;35729.856
Saturn ;9.53707032;0.0541506;2.48446;92.43194;113.71504;49.94432;317.51238;1213.8664;26.73;38362.464
Uranus ;19.191264;0.047168;0.76986;170.96424;74.22988;313.23218;142.26794;426.9282;97.86;62063.712
Neptun ;30.068964;0.008586;1.76917;44.97135;131.72169;304.88003;259.90868;217.9599;29.58;57996
Pluto  ;39.481687;0.248808;17.14175;224.06676;110.30347;238.92881;14.86205;146.3183;NaN;NaN
%Aequinoktium J2000;;;;;;;;;;
%Mittlere Bahnparameter;;;;;;;;;;
