Name;aP;eP;iP;PiqP;OmegaP;L0P;M0P;NP;SidTagP;epsP
Merkur ;0.387089;0.205631;7.004986;77.456119;48.3309;252.2509;174.7948;149472.5153;5067033.6240;0.0000
Venus  ;0.723332;0.006773;3.394662;131.563703;76.6799;181.9798;50.4071;58517.8039;20996815.6800;177.3000
Erde   ;1;0.01671;0;102.937348;0.0000;100.4665;357.5256;35999.0498;86164.0990;23.4500
Mars   ;1.523662;0.093412;1.849726;336.060234;49.5581;355.4330;19.3879;19139.8585;88642.6630;25.1920
Jupiter;5.203363;0.048393;1.303267;14.331207;100.4644;34.3515;20.0203;3033.6272;35729.8560;3.1200
Saturn ;9.53707;0.054151;2.488879;93.057237;113.6655;50.0774;-42.9798;1213.8664;38362.4640;26.7300
Uranus ;19.191264;0.047168;0.773197;173.005291;74.0060;314.0550;141.0497;426.9282;62063.7120;97.8600
Neptun ;30.068964;0.008586;1.769953;48.120276;131.7841;304.3487;256.2284;217.9599;57996.0000;29.5800
Pluto  ;39.26423;0.244672;17.1514;224.0499;110.2867;239.0732;15.0233;146.3183;NaN;NaN
%Aequinoktium des Datums;;;;;;;;;;
%Mittlere Bahnparameter;;;;;;;;;;
